反復回数,回転角度θ（度）,スケールs,目的関数値J,勾配ノルム,∂J/∂θ,∂J/∂s
276,29.910233923357218,1.5379739663178071,246655.0,733310017.7182968,-441036847.2067119,585858414.2025889
277,29.910131906325443,1.537352116568375,243333.5,716747421.7606688,-421198015.1028473,579930253.283951
278,29.910057327630522,1.5367364106187855,240378.0,709907650.1657581,-417251517.4646165,574343140.4111512
279,29.910355617674597,1.5361442640086829,237512.5,690411377.4912211,-407603194.96921265,557249948.9638517
280,29.9086460666545,1.5355432588583413,235335.0,661124206.5953976,-379361277.957996,541451971.3995601
281,29.90629421639258,1.5349645142895887,232093.5,623475436.2829734,-353574247.56862754,513523973.25200194
282,29.9048348387682,1.5343959541345853,229127.5,629096530.6565926,-361465987.88933694,514883272.67774665
283,29.905146586200676,1.533880165151219,226232.0,602925213.0764078,-355677533.75100386,486839095.131066
284,29.907206651663415,1.5334143463743535,223226.5,579835263.9936658,-351767894.6386981,460942818.2237596
285,29.90844711645085,1.5329496370123874,220528.5,562219560.2731735,-337021370.21302676,450008255.45037997
286,29.911245669689446,1.5325133237444857,217381.5,559975264.5570809,-343921900.8220718,441916307.744697
287,29.91461116902774,1.532103984731866,215334.0,540008867.8592414,-335213223.7168395,423369427.3468312
288,29.91857955837735,1.5317169579001984,212251.0,525949964.5383191,-329995701.6918336,409543895.159937
289,29.92100981936753,1.5313465247392761,210080.0,475859589.0949821,-292430254.78745174,375402310.35329455
290,29.92245851415286,1.530960461993364,207938.0,474486790.37706566,-286270782.8534243,378400255.1886257
291,29.922417773018434,1.5305446732348598,205612.0,479804781.3525696,-281420630.2018078,388606558.2380262
292,29.9204983753292,1.5301282466897705,203672.0,443702082.5035836,-249695426.15303707,366774770.3649613
293,29.91919549603739,1.5297310613559212,201596.5,433499215.3183542,-247057244.8548117,356208207.9997293
294,29.91959870715978,1.5293721403413851,199521.0,422179118.7121501,-249703015.59587264,340416821.3806349
295,29.921636521612744,1.529040161987572,197673.0,422837066.8274734,-258916390.8499717,334295509.44110197
296,29.92524357868014,1.5287157165242202,195342.5,445081771.6327883,-280242319.2065486,345777422.57920265
297,29.926513764282348,1.5283807955313788,193446.5,411535134.22303873,-248129900.1293382,328318015.59125435
298,29.92868095897223,1.5280752585249557,191669.5,395180912.43362015,-243293982.7264572,311409684.3724789
299,29.93141392959806,1.5277967731987365,189292.5,375164652.45897603,-234472470.39293545,292867166.27593863
300,29.932980277759214,1.5274970690390228,187781.0,376707831.21079963,-229090310.97414196,299042504.5262215
301,29.934824789133387,1.5272192741660446,185872.5,356879982.48132885,-218936457.12788308,281833549.5219904
302,29.93645781429494,1.5269232992532804,184587.5,373618501.513226,-227607594.28405672,296286293.4683491
303,29.937884357076314,1.5266212954681573,182523.5,376285708.72889173,-228116441.72014612,299255448.75664926
304,29.940226983962017,1.526338933721238,179768.5,371500136.32076716,-230115212.57216382,291649344.64047134
305,29.942262134369695,1.526036498136116,178116.0,388400599.9179912,-238319406.96377712,306690212.23555386
306,29.942003001396667,1.5257082652304326,176683.5,373421071.0565308,-217169745.71061182,303777217.4752327
307,29.94222067172603,1.5254003354918282,174598.0,359562219.8375274,-211580456.01484263,290721001.2486914
308,29.942373921840318,1.525095791208713,172557.0,354280739.38305026,-208066090.47357512,286746132.1323147
309,29.940926709716287,1.524777420408558,170903.0,339302482.04497737,-190461704.14735422,280803336.1183017
