反復回数,∂J/∂θ,∂J/∂s,目的関数J
452,409878661.2334377,-695334236.4565265,834552.5
453,403275166.32131106,-695614443.8321024,835418.0
454,402422311.96399444,-694362082.9697391,835217.5
455,407397435.77687323,-694754164.1812305,834710.5
456,401646632.4863362,-693666933.2753485,834258.0
457,388450450.2060532,-684798096.0604229,835637.5
458,399371804.2504209,-688660331.3523757,836935.0
459,397731635.15000296,-698052326.1865838,836146.5
460,402573278.0862589,-697950984.0274096,836237.5
461,402305066.5496077,-701650593.4308413,835734.0
462,397567997.70370734,-702576139.6180807,836254.0
463,393529291.99117506,-702759603.9011159,837177.0
464,382387300.40195787,-699399511.0968822,837450.0
465,409634524.55273867,-710238912.5892736,837913.0
466,401688356.3379383,-707777337.5007277,838962.5
467,397755272.5122184,-703475426.070104,839512.5
468,395133555.34236896,-706817534.2935307,839025.0
469,406020154.8053099,-708270836.4718096,839537.5
470,410587828.834186,-702190857.1588404,839564.5
471,417185354.5388452,-701976824.918232,839516.5
472,412781614.21418184,-704784041.4800433,839834.5
473,422996149.2701762,-700880677.734951,839926.5
474,411245842.3206024,-700838331.3240881,838464.0
